Category	MsgDescription	MsgCode
AdminChange	ModifiedKrbRealm	ADM24687
AdminChange	AddedKrbRealm	ADM24688
AdminChange	DeletedKrbRealm	ADM24689
AdminChange	ReorderedKrbRealm	ADM24690
AdminChange	ModifiedKrbCD	ADM24691
AdminChange	AddedKrbCD	ADM24692
AdminChange	DeletedKrbCD	ADM24693
AdminChange	ReorderedKrbCD	ADM24694
AdminChange	EnabledFallbackKrb	ADM24695
AdminChange	DisabledFallbackKrb	ADM24696
AdminChange	AlteredKrbCred	ADM24697
AdminChange	AppendedKrbCred	ADM24698
AdminChange	RemovedKrbCred	ADM24699
AdminChange	RearrangedKrbCred	ADM24700
AdminChange	EnabledFallbackNtlmV2	ADM24701
AdminChange	DisabledFallbackNtlmV2	ADM24702
AdminChange	ModifiedNtlm	ADM24703
AdminChange	AddedNtlm	ADM24704
AdminChange	DeletedNtlm	ADM24705
AdminChange	ReorderedNtlm	ADM24706
AdminChange	EnabledFallbackNtlmV1	ADM24707
AdminChange	DisabledFallbackNtlmV1	ADM24708
AdminChange	ModifiedBasicAuth	ADM24709
AdminChange	AddedBasicAuth	ADM24710
AdminChange	DeletedBasicAuth	ADM24711
AdminChange	ReorderedBasicAuth	ADM24712
AdminChange	addSyncClient	ADM24718
AdminChange	removeSyncClient	ADM24719
AdminChange	addSyncServer	ADM24720
AdminChange	removeSyncServer	ADM24721
AdminChange	addSyncLAS	ADM24722
AdminChange	removeSyncLAS	ADM24723
AdminChange	syncNodeNameChange	ADM24724
AdminChange	enableSyncServer	ADM24725
AdminChange	disableSyncServer	ADM24726
AdminChange	changedSyncSecret	ADM24727
AdminChange	selectedSyncClient	ADM24728
AdminChange	selectedSyncServer	ADM24729
AdminChange	failResolveHost	ADM24730
AdminChange	missingLASMapping	ADM24749
AdminLogin	SigninRejectDMIAdmin	ADM24780
AdminChange	AddedPolicy	ADM24791
AdminChange	RemovedPolicy	ADM24792
AdminChange	ModifiedPolicy	ADM24793
AdminChange	ModifiedPolicyOrder	ADM24794
AdminChange	setAutoDelete	ADM24822
AdminChange	setTrackLastAccess	ADM24823
AdminChange	ProductsAddedPredefinedrule	ADM24837
AdminChange	ProductsDeletedPredefinedrule	ADM24838
AdminChange	VendorsDeletedPredefinedrule	ADM24839
AdminChange	DeleteOlderEsaps	ADM24840
AdminChange	DeleteOldestEsaps	ADM24841
AdminChange	FailedtoSupportExistingRules	ADM24842
AdminChange	CreateVDIProfile	ADM24854
AdminChange	UpdateVDIProfile	ADM24855
AdminChange	CreateVDIBookmark	ADM24856
AdminChange	UpdateVDIBookmark	ADM24857
AdminChange	RadiusAttrPolicyCreated	ADM24863
AdminChange	RadiusAttrPolicyModified	ADM24864
AdminChange	RadiusAttrPolicyDeleted	ADM24865
AdminChange	ActiveDirChangedUser	ADM30404
AdminChange	ActiveDirCreatePass	ADM30405
AdminChange	ActiveDirChangedPass	ADM30406
AdminChange	ActiveDirCreateUser	ADM30407
AdminChange	SoftwareUpgrade	ADM30408
AdminChange	Reboot	ADM30409
AdminChange	Rollback	ADM30410
AdminChange	UpgradeProgress	ADM30411
AdminChange	SoftwareVersion	ADM30412
AdminChange	UpdatePolicy	ADM30417
AdminChange	KWatchdogStatusChanged	ADM30418
AdminChange	FSAutoCleanupStatusChanged	ADM30419
AdminChange	ProxyEnabled	ADM30420
AdminChange	ProxyDisabled	ADM30421
AdminChange	ProxyChanged	ADM30422
AdminChange	VDIClientUploaded	ADM30432
AdminChange	VDIClientUploadFailed	ADM30433
AdminChange	VDIClientDeliveryOptionChanged	ADM30434
AdminChange	VDIServerTimeoutChanged	ADM30437
AdminChange	VDIClientDeliveryURLChanged	ADM30438
AdminChange	LoadClientAuthSignedCSR	ADM30448
AdminChange	AddClientAuthCert	ADM30449
AdminChange	RenewClientAuthCert	ADM30450
AdminChange	RemoveClientAuthCert	ADM30451
AdminChange	AddConfig	ADM30452
AdminChange	EditConfig	ADM30453
AdminChange	DeleteConfig	ADM30454
AdminChange	StagedPackage	ADM30464
AdminChange	DeletedPackage	ADM30465
AdminChange	addSignInNotif	ADM30467
AdminChange	updateSignInNotif	ADM30468
AdminChange	deleteSignInNotif	ADM30469
AdminChange	ClusterChangePersonality	ADM30472
AdminChange	DiffPersonalityPackage	ADM30473
AdminChange	DeletedPackage	ADM30474
AdminChange	StagedPackage	ADM30475
AdminChange	AddedVirtualPortsToClientCertRequiredList	ADM30478
AdminChange	RemovedVirtualPortsFromClientCertRequiredList	ADM30479
AdminChange	VAIncompatible	ADM30480
AdminChange	ChangedPortIP	ADM30481
AdminChange	AddPreconfig	ADM30487
AdminChange	EditPreconfig	ADM30488
AdminChange	DeletePreconfig	ADM30489
AdminChange	restrictIVSConfig	ADM30490
AdminChange	certValidationLibChanged	ADM30491
AdminChange	WeakCiphersOptionChanged	ADM30522
AdminChange	SetMultiUserSessions	ADM30530
AdminChange	VDIRecordingStarted	ADM30536
AdminChange	VDIRecordingStopped	ADM30537
AdminChange	SetGuestUserFields	ADM30548
AdminChange	SetGuestUserPrefix	ADM30549
AdminChange	UploadClient	ADM30559
AdminChange	DeleteClient	ADM30560
AdminChange	ActivateClient	ADM30561
AdminChange	RDPLauncherAppletChanged	ADM30567
AdminChange	CreateInstaller	ADM30570
AdminChange	SetGuestUserCreationAllowed	ADM30572
AdminChange	AddSAMLMetadata	ADM30589
AdminChange	RemoveSAMLMetadata	ADM30590
AdminChange	UpdateSAMLMetadata	ADM30591
AdminChange	SetGuestUserLengthEnabled	ADM30595
AdminChange	SetGuestUserLength	ADM30596
AdminChange	CrlProxySettings	ADM30620
AdminChange	NeteChangedOverlookSession	ADM30642
AdminChange	NeteChangedOverlookMethods	ADM30643
AdminChange	NeteChangedOverlookURLs	ADM30644
AdminChange	UpgradeDiffPersonalityPackage	ADM30656
AdminChange	MAGVersionNotSupported	ADM30657
AdminChange	ChangedUserSessionSync	ADM30711
AdminChange	ChangedLastAccessTimeSync	ADM30712
AdminChange	VsysMappingChanged	ADM30714
AdminChange	DomainMappingChanged	ADM30715
AdminChange	MetadataEntityNotImported	ADM30727
AdminChange	DBMigrationFailure	ADM30731
AdminChange	SQLCreate	ADM30740
AdminChange	SQLChanged	ADM30741
AdminChange	ActiveDirCreateUseSPNEGO	ADM30742
AdminChange	ActiveDirChangedUseSPNEGO	ADM30743
AdminChange	ClientTypesChanged	ADM30744
AdminChange	ServerCertValidationFailed	ADM30754
AdminChange	ServerCertValidationSucceeded	ADM30755
AdminChange	SetGuestEmailEnabled	ADM30756
AdminChange	SetGuestSmtpServer	ADM30757
AdminChange	SetGuestSmtpLogin	ADM30758
AdminChange	SetGuestSmtpPassword	ADM30759
AdminChange	SetGuestSmtpEmail	ADM30760
AdminChange	SetGuestSmtpSubject	ADM30761
AdminChange	SetGuestSmtpFormat	ADM30762
AdminChange	ActiveDirChangedKeytabUploaded	ADM30767
AdminChange	ActiveDirChangedKeytabUploadFailed	ADM30768
AdminChange	PolicyDeleteMSSRule	ADM30781
AdminChange	PolicyUpdateMSSRule	ADM30782
AdminChange	PolicyAddMSSRule	ADM30783
AdminChange	PolicyDeleteRootingRule	ADM30784
AdminChange	PolicyUpdateRootingRule	ADM30785
AdminChange	PolicyAddRootingRule	ADM30786
AdminChange	PolicyDeleteJailBreakingRule	ADM30787
AdminChange	PolicyUpdateJailBreakingRule	ADM30788
AdminChange	PolicyAddJailBreakingRule	ADM30789
AdminChange	UpdateSAMLSettings	ADM30790
AdminChange	CreateSAMLMdP	ADM30791
AdminChange	UpdateSAMLMdP	ADM30792
AdminChange	UpdateSAMLIdP	ADM30793
AdminChange	CreateSAMLPeerSP	ADM30794
AdminChange	UpdateSAMLPeerSP	ADM30795
AdminChange	DeleteSAMLPeerSP	ADM30796
AdminChange	ServerCatalogChanged	ADM30801
AdminChange	ActiveDirCreateEnableLdapForGrpLookup	ADM30804
AdminChange	ActiveDirChangedEnableLdapForGrpLookup	ADM30805
AdminChange	ActiveDirCreateProtoForGrpLookup	ADM30806
AdminChange	ActiveDirChangedProtoForGrpLookup	ADM30807
AdminChange	ActiveDirCreateValidateSrvCert	ADM30808
AdminChange	ActiveDirChangedValidateSrvCert	ADM30809
AdminChange	ActiveDirCreateSrvOnlyOrRefAlso	ADM30810
AdminChange	ActiveDirChangedSrvOnlyOrRefAlso	ADM30811
AdminChange	ActiveDirCreateLdapAdmin	ADM30812
AdminChange	ActiveDirChangedLdapAdmin	ADM30813
AdminChange	ActiveDirCreateLdapBaseDn	ADM30814
AdminChange	ActiveDirChangedLdapBaseDn	ADM30815
AdminChange	ActiveDirCreateLdapNestedGrpLevel	ADM30816
AdminChange	ActiveDirChangedLdapNestedGrpLevel	ADM30817
AdminChange	TargetCertValidation	ADM30819
AdminChange	changeAdministrativeNetwork	ADM30856
AdminChange	updateTrafficSeg	ADM30857
AdminChange	setTrafficSeg	ADM30858
AdminChange	ManagementDisable	ADM30860
AdminChange	ManagementEnable	ADM30861
AdminChange	CreateName	ADM30862
AdminChange	CreateDomain	ADM30863
AdminChange	CreateAllowTrusts	ADM30864
AdminChange	CreateAuthProtocolOptions	ADM30865
AdminChange	ChangedName	ADM30866
AdminChange	ChangedDomain	ADM30867
AdminChange	ChangedAllowTrusts	ADM30868
AdminChange	ChangedAuthProtocolOptions	ADM30869
AdminChange	DeleteServer	ADM30870
AdminChange	CreateUser	ADM30871
AdminChange	ChangedUser	ADM30872
AdminChange	CreatePassword	ADM30873
AdminChange	ChangedPassword	ADM30874
AdminChange	CreateRealmName	ADM30875
AdminChange	ChangedRealmName	ADM30876
AdminChange	CompChange	ADM30877
AdminChange	CreateUseSPNEGO	ADM30878
AdminChange	ChangedUseSPNEGO	ADM30879
AdminChange	ChangedKeytabUploaded	ADM30880
AdminChange	ChangedKeytabUploadFailed	ADM30881
AdminChange	CreateNestedGrpLevel	ADM30882
AdminChange	ChangedNestedGrpLevel	ADM30883
AdminChange	ChangedContainer	ADM30884
AdminChange	ChangedSaveCredential	ADM30885
AdminChange	ChangedKerberos	ADM30886
AdminChange	ChangedNTLM	ADM30887
AdminChange	CreatePwdFrequency	ADM30888
AdminChange	ChangedPwdFrequency	ADM30889
AdminChange	CreatedADModeServer	ADM30890
AdminChange	CreatedNT4ModeServer	ADM30891
AdminChange	ChangedNTLMFlag	ADM30892
AdminChange	ResetUserCreds	ADM30893
AdminChange	ModeSwitch	ADM30907
AdminChange	PortEnableV4V6	ADM30915
AdminChange	PortDisableV4V6	ADM30916
AdminChange	ChangedPortV6IP	ADM30917
AdminChange	ChangedPrefix	ADM30918
AdminChange	ChangedGWIP	ADM30920
AdminChange	bulkEncryptionEnabled	ADM30931
AdminChange	bulkEncryptionDisabled	ADM30932
AdminChange	SSLHandshakeTimeoutChanged	ADM30933
AdminChange	LegacyRenegotiationEnabled	ADM30934
AdminChange	LegacyRenegotiationDisabled	ADM30935
AdminChange	EnabledPeriodicSnapshot	ADM30938
AdminChange	DelNDPEntry	ADM30939
AdminChange	ProductRenamedPredefinedrule	ADM30946
AdminChange	EmptyPredefinedrule	ADM30947
AdminChange	FIPSModeOptionChanged	ADM30965
AdminChange	OCSProxySettings	ADM30968
AdminChange	ChangeUserPasswordFailed	ADM30976
AdminChange	ChangedPROTO	ADM30979
AdminChange	NTPKeyChanged	ADM30981
AdminChange	SecondaryNTPKeyChanged	ADM30982
AdminChange	SecondaryNTPServerChanged	ADM30983
SystemStatus	UsingSecondaryNTPServer	ADM30984
AdminChange	AddedUserAdmin	ADM30994
AdminChange	RemovedUserAdmin	ADM30995
AdminChange	SetGuamInstructions	ADM30999
AdminChange	ChangedClusterArpFailures	ADM31016
AdminChange	ChangedClusterDisableExtIntf	ADM31017
AdminChange	FIPSModeUACOptionChanged	ADM31028
AdminChange	AddSMIMECert	ADM31033
AdminChange	RemoveSMIMECert	ADM31034
AdminLogin	AdminRadiusDisconnect	ADM31040
AdminChange	RadiusCreateDisconnect	ADM31045
AdminChange	RadiusChangedDisconnect	ADM31046
AdminChange	DeviceStatusChange	ADM31049
AdminChange	PortProbe	ADM31101
AdminChange	EnableWinbinddRestarts	ADM31103
AdminChange	DisableWinbinddRestarts	ADM31104
AdminChange	UpdateObSCEP	ADM31105
AdminChange	CreateObCSR	ADM31106
AdminChange	UpdateObCSR	ADM31107
AdminChange	DeleteObCSR	ADM31108
AdminChange	SetMUSAtMaxSessionLimit	ADM31110
AdminChange	AdminOpOnPushTarget	ADM31111
AdminChange	AdminOpOnPushJob	ADM31112
AdminChange	PushReceived	ADM31113
AdminChange	MissedScheduledImport	ADM31114
AdminChange	SetAuthServerAttrForSessionMgmt	ADM31125
AdminChange	SetGuestSmsEnabled	ADM31131
AdminChange	SetGuestSmsGatewayType	ADM31132
AdminChange	SetGuestSmsGatewayLogin	ADM31133
AdminChange	SetGuestSmsGatewayPassword	ADM31134
AdminChange	SetGuestSmsGatewayAPIID	ADM31135
AdminChange	SetGuestSmsHttpsEnabled	ADM31136
AdminChange	SetGuestSmsPostURL	ADM31137
AdminChange	SetGuestProxyServerEnabled	ADM31138
AdminChange	SetGuestProxyServer	ADM31139
AdminChange	SetGuestProxyPort	ADM31140
AdminChange	SetGuestProxyUsername	ADM31141
AdminChange	SetGuestProxyPassword	ADM31142
AdminChange	TroubleshootMachinePwdChgOK	ADM31144
AdminChange	TroubleshootMachinePwdChgFailed	ADM31145
AdminChange	TroubleshootRestartServicesOK	ADM31146
AdminChange	TroubleshootRestartServicesFailed	ADM31147
AdminChange	TroubleshootClearResetJoinOK	ADM31148
AdminChange	TroubleshootClearResetJoinFailed	ADM31149
AdminChange	TroubleshootResetJoinFailed	ADM31151
AdminChange	ScheduledImportSuspended	ADM31153
AdminChange	ScheduledImportResumed	ADM31154
AdminChange	BackupCreatedDuringPatchAssessmentMigration	ADM31155
AdminChange	XMLImportFailedWithReason	ADM31157
AdminChange	RemoveTargetsInJob	ADM31158
AdminChange	TroubleshootResetJoinOK	ADM31159
AdminChange	SmimeSettingsChanged	ADM31162
AdminChange	UploadFailed	ADM31166
AdminChange	ChangedMaxDomainConnections	ADM31167
AdminChange	BinaryImportNoAdminsInAdminAuthServer	ADM31174
AdminChange	RadiusCreateLoadBalanceAuth	ADM31175
AdminChange	RadiusChangedLoadBalanceAuth	ADM31176
AdminChange	SetGuestAccountStartTimeEnabled	ADM31179
AdminChange	SetGuestAccountEndTimeEnabled	ADM31180
AdminChange	SetGuestSignInEnabled	ADM31181
AdminChange	SetGuestSignInURL	ADM31182
AdminChange	SetGuestWirelessSSIDEnabled	ADM31183
AdminChange	SetGuestWirelessSSID	ADM31184
AdminChange	FailedtoInstallESAPPackages	ADM31185
AdminChange	ServerCertificateTrustChanged	ADM31189
AdminChange	IfmapConfigChange	ADM31192
AdminChange	InsufficientDiskSpace	ADM31195
AdminChange	PolicyDeleteDeprecatedRule	ADM31196
AdminChange	BackupCreatedDuringPolicyMigration	ADM31197
AdminChange	DeprecatedPoliciesDeleted	ADM31198
AdminChange	EnableWinbinddMonitoring	ADM31202
AdminChange	DisableWinbinddMonitoring	ADM31203
AdminChange	SetSourceCountryCode	ADM31213
AdminChange	SetSourceMobileNumber	ADM31214
AdminChange	UpdatedCMConfig	ADM31218
AdminChange	NotificationChannelConnectionRequest	ADM31219
